time;message;logger;level;description
2015-05-03 15:34:52.2525;EmailSenderMTHR טםטצאכטחטנמגאם;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:35:22.5225;EmailSenderMTHR חאןףשום ןונגûי גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:37:01.8005;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:37:13.8322;Îרטבךא מעךנûעטÿ חאהאקט;WebMTHR.Controllers.TaskController;Error;"System.ArgumentNullException: Çםאקוםטו םו למזוע בûעü םומןנוהוכוםםûל.
Èלÿ ןאנאלוענא: input
   ג System.Guid.Parse(String input)
   ג WebMTHR.Controllers.TaskController.<OpenTask>d__b.MoveNext() ג c:\Users\Ðףסכאם\Desktop\MTAHR\WebMTHR\Controllers\TaskController.cs:סענמךא 63"
2015-05-03 15:37:24.6461;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:37:54.6576;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:38:24.6664;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:38:54.6683;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:39:24.6732;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:39:54.6799;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:40:24.7757;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:40:54.7896;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:41:24.8034;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:41:54.8071;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:42:24.8149;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:42:54.8197;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:43:24.8214;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:43:54.8352;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:44:24.8370;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:44:54.8408;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:45:24.8536;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:45:54.8713;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:46:24.8811;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-05-03 15:46:54.8839;EmailSenderMTHR גûחמג עאילונא Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
