time;message;logger;level;description
2015-03-31 21:59:12.3137;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:01:36.9686;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:02:11.4191;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:03:08.0256;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:03:12.3247;Ошибка отправки сообщений таймер остановлен, проверте доступ к файлу шаблона и перезапустите службу;WebMTHR.EmailSender.EmailSenderMTHR;Error;"System.IO.FileNotFoundException: Файл 'C:\Program Files (x86)\IIS Express\TaskNotificationTemplate.htm' не найден.
Имя файла: 'C:\Program Files (x86)\IIS Express\TaskNotificationTemplate.htm'
   в System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   в System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   в System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   в System.IO.StreamReader..ctor(String path, Encoding encoding, Boolean detectEncodingFromByteOrderMarks, Int32 bufferSize, Boolean checkHost)
   в System.IO.File.InternalReadAllText(String path, Encoding encoding, Boolean checkHost)
   в System.IO.File.ReadAllText(String path, Encoding encoding)
   в WebMTHR.EmailSender.SenderUtils.GetTemplate(String nameTemplate) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\SenderUtils.cs:строка 19
   в WebMTHR.EmailSender.SendMailFirst..ctor(ISenderParam param) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\SendMailFirst.cs:строка 44
   в WebMTHR.EmailSender.EmailSenderMTHR.TimerCall(Object state) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\EmailSenderMTHR.cs:строка 34"
2015-03-31 22:15:41.0576;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:16:13.8235;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:18:00.5654;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:18:31.0669;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:19:08.4789;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-31 22:19:38.5295;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
